hive,date,label,avg_temp_F,avg_humidity,pct_day_brooding,pct_day_failing,alive,total_readings
WHC,2025-11-21,normal,57.65,99.9,0.0,0.0,1,96
WHC,2025-11-22,normal,56.05,99.9,0.0,0.0,1,96
WHC,2025-11-23,normal,53.1,99.9,0.0,0.0,1,71
WHC,2025-11-30,normal,41.64,99.9,0.0,0.0,1,34
WHC,2025-12-01,normal,40.2,99.9,0.0,0.0,1,96
WHC,2025-12-02,normal,40.66,99.9,0.0,0.0,1,96
WHC,2025-12-03,normal,39.56,99.9,0.0,0.0,1,96
WHC,2025-12-04,normal,39.68,99.9,0.0,0.0,1,96
WHC,2025-12-05,normal,37.61,99.9,0.0,0.0,1,96
WHC,2025-12-06,normal,40.49,99.9,0.0,0.0,1,96
WHC,2025-12-07,normal,42.47,99.9,0.0,0.0,1,96
WHC,2025-12-08,normal,40.95,99.9,0.0,0.0,1,96
WHC,2025-12-09,normal,40.0,99.9,0.0,0.0,1,96
WHC,2025-12-10,normal,43.66,99.9,0.0,0.0,1,96
WHC,2025-12-11,normal,41.81,99.88,0.0,0.0,1,96
WHC,2025-12-12,normal,41.39,99.85,0.0,0.0,1,96
WHC,2025-12-13,normal,40.63,99.55,0.0,0.0,1,96
WHC,2025-12-14,normal,34.9,96.92,0.0,0.0,1,96
WHC,2025-12-15,normal,32.04,96.6,0.0,0.0,1,96
WHC,2025-12-16,normal,36.41,98.65,0.0,0.0,1,96
WHC,2025-12-17,normal,41.67,99.67,0.0,0.0,1,96
WHC,2025-12-18,normal,45.9,99.81,0.0,0.0,1,96
WHC,2025-12-19,normal,43.19,98.53,0.0,0.0,1,96
WHC,2025-12-20,normal,40.02,97.87,0.0,0.0,1,49
WHE,2025-11-08,normal,59.83,68.75,0.0,0.0,1,48
WHE,2025-11-09,normal,52.0,83.02,0.0,0.0,1,96
WHE,2025-11-10,normal,43.6,84.99,0.0,0.0,1,96
WHE,2025-11-11,normal,41.11,85.54,0.0,0.0,1,96
WHE,2025-11-12,normal,45.16,88.85,0.0,0.0,1,96
WHE,2025-11-13,normal,48.37,90.17,0.0,0.0,1,96
WHE,2025-11-14,normal,55.65,90.46,0.0,0.0,1,96
WHE,2025-11-15,normal,65.36,88.6,0.0,0.0,1,96
WHE,2025-11-16,normal,59.29,83.74,0.0,0.0,1,96
WHE,2025-11-17,normal,53.34,81.24,0.0,0.0,1,96
WHE,2025-11-18,normal,52.26,85.43,0.0,0.0,1,96
WHE,2025-11-19,normal,51.77,90.1,0.0,0.0,1,96
WHE,2025-11-20,normal,54.15,90.86,0.0,0.0,1,96
WHE,2025-11-21,normal,55.94,91.96,0.0,0.0,1,96
WHE,2025-11-22,normal,53.19,92.48,0.0,0.0,1,96
WHE,2025-11-23,normal,51.68,92.48,0.0,0.0,1,96
WHE,2025-11-24,normal,50.56,92.57,0.0,0.0,1,96
WHE,2025-11-25,normal,55.57,94.14,0.0,0.0,1,96
WHE,2025-11-26,normal,51.62,92.09,0.0,0.0,1,96
WHE,2025-11-27,normal,42.9,91.59,0.0,0.0,1,96
WHE,2025-11-28,normal,39.32,91.4,0.0,0.0,1,96
WHE,2025-11-29,normal,38.72,90.91,0.0,0.0,1,96
WHE,2025-11-30,normal,39.75,90.74,0.0,0.0,1,96
WHE,2025-12-01,normal,38.79,89.94,0.0,0.0,1,96
WHE,2025-12-02,normal,39.94,90.65,0.0,0.0,1,96
WHE,2025-12-03,normal,38.68,88.78,0.0,0.0,1,96
WHE,2025-12-04,normal,38.36,91.1,0.0,0.0,1,96
WHE,2025-12-05,normal,36.44,90.11,0.0,0.0,1,96
WHE,2025-12-06,normal,40.5,91.9,0.0,0.0,1,96
WHE,2025-12-07,normal,42.37,92.91,0.0,0.0,1,96
WHE,2025-12-08,normal,39.86,92.05,0.0,0.0,1,96
WHE,2025-12-09,normal,39.67,91.74,0.0,0.0,1,96
WHE,2025-12-10,normal,43.78,93.79,0.0,0.0,1,96
WHE,2025-12-11,normal,41.42,93.37,0.0,0.0,1,64
WIC,2025-11-08,normal,62.14,64.62,0.0,0.0,1,48
WIC,2025-11-09,normal,58.02,73.77,0.0,0.0,1,96
WIC,2025-11-10,normal,49.67,76.18,0.0,0.0,1,96
WIC,2025-11-11,normal,46.85,76.38,0.0,0.0,1,96
WIC,2025-11-12,normal,49.31,77.39,0.0,0.0,1,96
WIC,2025-11-13,normal,52.63,78.69,0.0,0.0,1,96
WIC,2025-11-14,normal,60.14,80.24,0.0,0.0,1,96
WIC,2025-11-15,normal,71.1,77.32,0.0,0.0,1,96
WIC,2025-11-16,normal,65.19,70.42,0.0,0.0,1,96
WIC,2025-11-17,normal,58.22,74.31,0.0,0.0,1,96
WIC,2025-11-18,normal,55.16,77.25,0.0,0.0,1,96
WIC,2025-11-19,normal,54.57,79.45,0.0,0.0,1,96
WIC,2025-11-20,normal,55.13,80.56,0.0,0.0,1,96
WIC,2025-11-21,normal,57.77,82.32,0.0,0.0,1,96
WIC,2025-11-22,normal,57.41,83.14,0.0,0.0,1,96
WIC,2025-11-23,normal,56.85,83.48,0.0,0.0,1,96
WIC,2025-11-24,normal,56.61,84.47,0.0,0.0,1,96
WIC,2025-11-25,normal,59.55,83.67,0.0,0.0,1,96
WIC,2025-11-26,normal,58.43,80.81,0.0,0.0,1,96
WIC,2025-11-27,normal,51.7,82.21,0.0,0.0,1,96
WIC,2025-11-28,normal,48.33,82.1,0.0,0.0,1,96
WIC,2025-11-29,normal,47.39,81.85,0.0,0.0,1,95
WIC,2025-11-30,normal,47.82,81.3,0.0,0.0,1,96
WIC,2025-12-01,normal,45.87,79.1,0.0,0.0,1,96
WIC,2025-12-02,normal,46.72,79.06,0.0,0.0,1,96
WIC,2025-12-03,normal,45.74,78.87,0.0,0.0,1,96
WIC,2025-12-04,normal,45.87,79.04,0.0,0.0,1,96
WIC,2025-12-05,normal,44.0,78.15,0.0,0.0,1,96
WIC,2025-12-06,normal,48.32,79.1,0.0,0.0,1,96
WIC,2025-12-07,normal,49.41,80.18,0.0,0.0,1,96
WIC,2025-12-08,normal,46.28,80.11,0.0,0.0,1,96
WIC,2025-12-09,normal,45.84,81.01,0.0,0.0,1,96
WIC,2025-12-10,normal,49.53,82.76,0.0,0.0,1,96
WIC,2025-12-11,normal,47.16,82.63,0.0,0.0,1,96
WIC,2025-12-12,normal,48.17,82.03,0.0,0.0,1,96
WIC,2025-12-13,normal,48.06,82.92,0.0,0.0,1,96
WIC,2025-12-14,normal,43.27,78.51,0.0,0.0,1,96
WIC,2025-12-15,normal,41.65,77.97,0.0,0.0,1,96
WIC,2025-12-16,normal,45.76,78.8,0.0,0.0,1,96
WIC,2025-12-17,normal,51.85,81.88,0.0,0.0,1,96
WIC,2025-12-18,normal,55.7,83.04,0.0,0.0,1,96
WIC,2025-12-19,normal,54.62,85.65,0.0,0.0,1,96
WIC,2025-12-20,normal,48.91,84.47,0.0,0.0,1,49
